Flow ID,Flow,HS4 4 Digit ID,HS4 4 Digit,Date Year,State ID,State,Chapter 4 Digit ID,Chapter 4 Digit,Trade Value
2,Exports,20806,"Grapes, Fresh or Dried, Raisins",2021,19,Nuevo León,2,Vegetable Products,122828
2,Exports,20806,"Grapes, Fresh or Dried, Raisins",2021,26,Sonora,2,Vegetable Products,295223176
2,Exports,20807,"Cantaloupes, Watermelons and Papayas, Frescos",2021,9,Ciudad de México,2,Vegetable Products,9612335
2,Exports,20807,"Cantaloupes, Watermelons and Papayas, Frescos",2021,14,Jalisco,2,Vegetable Products,14782322
2,Exports,20807,"Cantaloupes, Watermelons and Papayas, Frescos",2021,19,Nuevo León,2,Vegetable Products,12049669
2,Exports,20807,"Cantaloupes, Watermelons and Papayas, Frescos",2021,26,Sonora,2,Vegetable Products,245183456
2,Exports,20810,"Other Fruit and Nuts, Fresh",2021,9,Ciudad de México,2,Vegetable Products,8409317
2,Exports,20810,"Other Fruit and Nuts, Fresh",2021,14,Jalisco,2,Vegetable Products,2226458526
2,Exports,20810,"Other Fruit and Nuts, Fresh",2021,19,Nuevo León,2,Vegetable Products,9855524
2,Exports,20810,"Other Fruit and Nuts, Fresh",2021,26,Sonora,2,Vegetable Products,5851863
2,Exports,20811,"Fruit and Nuts, Uncooked or Cooked in Water or Steam, Frozen, whether Added Sugar or other Sweetening Matter",2021,9,Ciudad de México,2,Vegetable Products,1138406
2,Exports,20811,"Fruit and Nuts, Uncooked or Cooked in Water or Steam, Frozen, whether Added Sugar or other Sweetening Matter",2021,14,Jalisco,2,Vegetable Products,24714167
2,Exports,20811,"Fruit and Nuts, Uncooked or Cooked in Water or Steam, Frozen, whether Added Sugar or other Sweetening Matter",2021,19,Nuevo León,2,Vegetable Products,1512614
2,Exports,20813,"Fruit and Nuts, Dried, other than those of Heading 0801 to 0806; Mixtures of Fruit or Nuts, Dried or Nuts of this Chapter",2021,9,Ciudad de México,2,Vegetable Products,71170
2,Exports,20813,"Fruit and Nuts, Dried, other than those of Heading 0801 to 0806; Mixtures of Fruit or Nuts, Dried or Nuts of this Chapter",2021,14,Jalisco,2,Vegetable Products,3968227
2,Exports,20813,"Fruit and Nuts, Dried, other than those of Heading 0801 to 0806; Mixtures of Fruit or Nuts, Dried or Nuts of this Chapter",2021,19,Nuevo León,2,Vegetable Products,14743
2,Exports,20814,"Peel of Citrus (Citrus) or Melons, Fresh, Frozen, Dried or Presented in Agua Salada, Sulfur Dioxide or other Substances to Provisionally Preserved",2021,19,Nuevo León,2,Vegetable Products,4667351
2,Exports,20901,"Coffee, whether Roasted or Decaffeinated; Coffee Husks and Skins; Coffee Substitutes Containing Coffee in any Proportion",2021,9,Ciudad de México,2,Vegetable Products,166444081
2,Exports,20901,"Coffee, whether Roasted or Decaffeinated; Coffee Husks and Skins; Coffee Substitutes Containing Coffee in any Proportion",2021,19,Nuevo León,2,Vegetable Products,11075
2,Exports,20902,"Tea, whether or not Flavored",2021,9,Ciudad de México,2,Vegetable Products,943889
2,Exports,20904,"Pepper of the Genus Piper; Fruits of the Capsicum Genus or Pimenta, Dried, Crushed or Ground",2021,9,Ciudad de México,2,Vegetable Products,1971384
2,Exports,20904,"Pepper of the Genus Piper; Fruits of the Capsicum Genus or Pimenta, Dried, Crushed or Ground",2021,14,Jalisco,2,Vegetable Products,12214598
2,Exports,20904,"Pepper of the Genus Piper; Fruits of the Capsicum Genus or Pimenta, Dried, Crushed or Ground",2021,19,Nuevo León,2,Vegetable Products,5740104
2,Exports,20906,Cinnamon and Cinnamon-Tree Flowers,2021,9,Ciudad de México,2,Vegetable Products,6525
2,Exports,20906,Cinnamon and Cinnamon-Tree Flowers,2021,14,Jalisco,2,Vegetable Products,21688
2,Exports,20906,Cinnamon and Cinnamon-Tree Flowers,2021,19,Nuevo León,2,Vegetable Products,1698
2,Exports,20909,"Aniseed, Badiana, Fennel, Coriander, Cumin or Caraway; Juniper Berries",2021,9,Ciudad de México,2,Vegetable Products,30
2,Exports,20909,"Aniseed, Badiana, Fennel, Coriander, Cumin or Caraway; Juniper Berries",2021,19,Nuevo León,2,Vegetable Products,373
2,Exports,20910,"Ginger, Saffron, Turmeric, Thyme, Bay Leaves, Curry and other Spices",2021,9,Ciudad de México,2,Vegetable Products,822575
2,Exports,20910,"Ginger, Saffron, Turmeric, Thyme, Bay Leaves, Curry and other Spices",2021,14,Jalisco,2,Vegetable Products,776847
2,Exports,20910,"Ginger, Saffron, Turmeric, Thyme, Bay Leaves, Curry and other Spices",2021,19,Nuevo León,2,Vegetable Products,691157
2,Exports,21001,Wheat and Meslin (Tranquillon),2021,9,Ciudad de México,2,Vegetable Products,230208398
2,Exports,21001,Wheat and Meslin (Tranquillon),2021,26,Sonora,2,Vegetable Products,7206872
2,Exports,21004,Oats,2021,9,Ciudad de México,2,Vegetable Products,1506
2,Exports,21005,Corn,2021,9,Ciudad de México,2,Vegetable Products,134908480
2,Exports,21005,Corn,2021,14,Jalisco,2,Vegetable Products,11042470
2,Exports,21005,Corn,2021,19,Nuevo León,2,Vegetable Products,389774
2,Exports,21006,Rice,2021,19,Nuevo León,2,Vegetable Products,6733557
2,Exports,21008,"Buckwheat, Millet and Canary Seed; other Cereals",2021,9,Ciudad de México,2,Vegetable Products,7090
2,Exports,21008,"Buckwheat, Millet and Canary Seed; other Cereals",2021,14,Jalisco,2,Vegetable Products,102325
2,Exports,21101,Wheat Flour O Meslin (Tranquillon),2021,9,Ciudad de México,2,Vegetable Products,13970102
2,Exports,21101,Wheat Flour O Meslin (Tranquillon),2021,19,Nuevo León,2,Vegetable Products,5632
2,Exports,21101,Wheat Flour O Meslin (Tranquillon),2021,26,Sonora,2,Vegetable Products,735648
2,Exports,21102,"Grain Flour, except Wheat or Meslin (Tranquillon)",2021,9,Ciudad de México,2,Vegetable Products,269205
2,Exports,21102,"Grain Flour, except Wheat or Meslin (Tranquillon)",2021,14,Jalisco,2,Vegetable Products,843945
2,Exports,21102,"Grain Flour, except Wheat or Meslin (Tranquillon)",2021,19,Nuevo León,2,Vegetable Products,28485971
2,Exports,21104,"Cereal Grains otherwise Worked (Example: Hulled, Flaked, Pearled, Sliced ??Or Kibbled), except Rice of Heading 10.06; whole Wheat Germ, Rolled, Flaked or Ground",2021,9,Ciudad de México,2,Vegetable Products,3276
2,Exports,21104,"Cereal Grains otherwise Worked (Example: Hulled, Flaked, Pearled, Sliced ??Or Kibbled), except Rice of Heading 10.06; whole Wheat Germ, Rolled, Flaked or Ground",2021,14,Jalisco,2,Vegetable Products,3102905
2,Exports,21104,"Cereal Grains otherwise Worked (Example: Hulled, Flaked, Pearled, Sliced ??Or Kibbled), except Rice of Heading 10.06; whole Wheat Germ, Rolled, Flaked or Ground",2021,19,Nuevo León,2,Vegetable Products,1591239
2,Exports,21106,"Flour, Meal and Powder of the Vegetables of Heading 07.13, of Sago or of Roots or Tubers of Heading 0714 or of the Products of Chapter 8",2021,9,Ciudad de México,2,Vegetable Products,7352
2,Exports,21106,"Flour, Meal and Powder of the Vegetables of Heading 07.13, of Sago or of Roots or Tubers of Heading 0714 or of the Products of Chapter 8",2021,14,Jalisco,2,Vegetable Products,1731096
